accuracy,loss,val_accuracy,val_loss
0.6970800161361694,0.5752736926078796,0.7899600267410278,0.48033276200294495
0.8230800032615662,0.427066832780838,0.8169999718666077,0.4218321144580841
0.8544800281524658,0.37153124809265137,0.8145999908447266,0.4744686782360077
0.8728799819946289,0.33112630248069763,0.8135600090026855,0.4755712151527405
0.8897600173950195,0.29776430130004883,0.8121600151062012,0.46522921323776245
0.9026399850845337,0.2727867066860199,0.8168799877166748,0.4869998097419739
0.9152399897575378,0.24673253297805786,0.8116000294685364,0.5349835753440857
0.9251599907875061,0.22111737728118896,0.8069999814033508,0.5911313891410828
0.9345600008964539,0.20342805981636047,0.8158400058746338,0.5479467511177063
0.9439600110054016,0.18013924360275269,0.8138800263404846,0.5675961375236511
