accuracy,loss,val_accuracy,val_loss
0.5031200051307678,0.6931710243225098,0.49932000041007996,0.6932433843612671
0.5072799921035767,0.6930047869682312,0.4996800124645233,0.6930593848228455
0.5096799731254578,0.6928715109825134,0.5023599863052368,0.6928349733352661
0.5123199820518494,0.6927750110626221,0.5020800232887268,0.6927024126052856
0.5155199766159058,0.69245445728302,0.5088000297546387,0.6924676299095154
0.5216400027275085,0.6922358870506287,0.5167199969291687,0.6922460198402405
0.5248399972915649,0.6920118927955627,0.5147200226783752,0.6920703053474426
0.526960015296936,0.6917577981948853,0.5261600017547607,0.6917650103569031
0.5303199887275696,0.6913151741027832,0.5263199806213379,0.6915063261985779
0.5350800156593323,0.6908971667289734,0.5191199779510498,0.6912902593612671
